artist_name,genres
JJ Lin,"mandopop, singaporean mandopop, singaporean pop"
F.I.R.,mandopop
Joanna Wang,"chinese audiophile, jazz, mandopop, taiwan singer-songwriter"
Shawn Mendes,"canadian pop, pop, viral pop"
Yoga Lin,"chinese r&b, mandopop"
Charlie Puth,"pop, viral pop"
Westlife,boy band
Niall Horan,pop
許嵩,"mainland mandopop, zhongguo feng"
Joker Xue,mandopop
Andrew Tan,"malaysian mandopop, mandopop"
Imagine Dragons,"modern rock, pop, rock"
Hebe Tien,mandopop
S.H.E,"mandopop, mandopop girl group, taiwan idol pop"
Fall Out Boy,"emo, modern rock, pop, rock"
Aska Yang,mandopop
高爾宣 OSN,mandopop
sodagreen,mandopop
Leehom Wang,mandopop
Olivia Ong,"singaporean mandopop, singaporean pop"
Taylor Swift,pop
Eason Chan,"cantopop, mandopop"
Jay Chou,"mandopop, zhongguo feng"
MAGIC!,"pop, reggae fusion"
Foster The People,"indietronica, modern alternative rock, modern rock, rock"
Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
One Direction,"boy band, pop, post-teen pop, talent show"
Camila Cabello,"dance pop, pop"
Little Mix,"girl group, pop, talent show, uk pop"
Mark Ronson,pop soul
Mr. Probz,dance pop
French Montana,"hip hop, pop rap, rap, southern hip hop, trap"
Khalid,"pop, pop r&b"
Daft Punk,"electro, filter house, rock"
Kesha,"dance pop, pop"
Harry Styles,pop
George Ezra,"folk-pop, neo-singer-songwriter"
Dillon Francis,"brostep, dance pop, edm, electro house, moombahton, progressive electro house, slap house"
Fifth Harmony,"girl group, pop, talent show"
R. City,"reggae fusion, virgin islands reggae"
Lil Nas X,lgbtq+ hip hop
Zara Larsson,"pop, scandipop, swedish electropop, swedish pop"
Train,"dance pop, neo mellow, pop, pop rock"
WALK THE MOON,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock"
Paloma Faith,"british soul, talent show, uk pop"
Childish Gambino,"atl hip hop, hip hop, rap"
P!nk,"dance pop, pop"
John Legend,"neo soul, pop, pop soul, urban contemporary"
The Chainsmokers,pop
Pharrell Williams,"dance pop, pop"
Beyoncé,"pop, r&b"
Adele,"british soul, pop, pop soul, uk pop"
Sia,pop
Chris Brown,"r&b, rap"
Justin Timberlake,"dance pop, pop"
Rachel Platten,"post-teen pop, talent show, viral pop"
Miley Cyrus,pop
ZAYN,"pop, uk pop"
Justin Bieber,"canadian pop, pop"
Ed Sheeran,"pop, singer-songwriter pop, uk pop"
Olly Murs,"dance pop, pop, talent show, uk pop"
Alan Walker,electro house
Ronghao Li,"chinese singer-songwriter, mainland mandopop, mandopop"
Steve Chou,mandopop
Astro Bunny,"chinese electropop, mandopop, taiwan indie"
Maroon 5,pop
Eric Chou,mandopop
The Vamps,"boy band, pop"
Wiz Khalifa,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
倪安東,no genres found
Angela Chang,mandopop
Rod Wave,florida rap
Rihanna,"barbadian pop, pop, urban contemporary"
MKTO,"pop, post-teen pop"
Elle King,modern blues rock
Katy Perry,pop
G.R.L.,"girl group, post-teen pop, talent show"
Lewis Capaldi,"pop, uk pop"
Ella Henderson,"dance pop, talent show, uk pop"
Hozier,"irish singer-songwriter, modern rock, pop, pov: indie"
OMI,reggae fusion
The Script,"celtic rock, pop"
Rag'n'Bone Man,neo soul
DJ Khaled,"hip hop, miami hip hop, pop rap, rap"
Tom Odell,chill pop
Britney Spears,"dance pop, pop"
Bii,mandopop
韓紅,mandopop
Jam Hsiao,mandopop
Mayday,mandopop
羅大佑,"mandopop, taiwan campus folk, taiwan singer-songwriter"
Jessica Mauboy,"australian indigenous music, australian pop, australian talent show"
Tiger Hu,"mainland mandopop, mandopop"
Ella Chen,mandopop
A-Mei Chang,mandopop
Sam Smith,"pop, uk pop"
5 Seconds of Summer,"boy band, pop"
Faye Wong,mandopop
吳青峰,"mandopop, taiwan singer-songwriter"
Jason Mraz,"acoustic pop, dance pop, neo mellow, pop"
Trevor Daniel,melodic rap
Jason Derulo,"dance pop, pop"
FKP,no genres found
Sam Hunt,"contemporary country, country, country pop, modern country rock"
Sean Kingston,"dance pop, miami hip hop, pop"
Austin Mahone,"pop, post-teen pop"
Jay Sean,"dance pop, pop, pop rap, post-teen pop"
James TW,"british singer-songwriter, uk pop"
Yisa Yu,"mainland mandopop, mandopop"
Hu Xia,"mainland mandopop, mandopop"
Stefanie Sun,"mandopop, singaporean mandopop, singaporean pop, singaporean singer-songwriter"
Iyaz,"dance pop, pop rap, post-teen pop"
Jesse McCartney,"dance pop, pop, post-teen pop"
PRETTYMUCH,"boy band, post-teen pop, teen pop"
Namewee,"malaysian mandopop, mandopop"
WeiBird,"chinese r&b, mandopop, taiwan singer-songwriter"
G.E.M.,mandopop
Jeff Chang,mandopop
Ozuna,"puerto rican pop, reggaeton, trap latino, urbano latino"
Lunay,"reggaeton, reggaeton flow, trap latino, urbano latino"
Mike Perry,"dance pop, swedish tropical house"
J.Williams,pacific islands pop
Disciples,"dance pop, house, uk dance"
Nelly,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Taio Cruz,"dance pop, pop, pop rap"
Nicki Minaj,"hip pop, pop, queens hip hop, rap"
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Ne-Yo,"dance pop, pop, r&b, urban contemporary"
Hannah Montana,"pop, post-teen pop"
Sammy Adams,indie pop rap
Cher Lloyd,"dance pop, pop, post-teen pop, talent show"
Far East Movement,"asian american hip hop, dance pop, pop rap"
Gym Class Heroes,"dance pop, pop rap"
T-Pain,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
B.o.B,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
Jordin Sparks,"dance pop, pop, post-teen pop, urban contemporary"
AGA,cantopop
Mao Buyi,"chinese minyao, chinese singer-songwriter, mainland mandopop"
David Tao,"chinese r&b, mandopop, taiwan singer-songwriter"
Hins Cheung,cantopop
Topic,"dance pop, german dance, pop edm, uk dance"
Kenji Wu,"mandopop, taiwan singer-songwriter"
Sam Lee,mandopop
Fish Leong,"malaysian mandopop, mandopop"
Offset,"atl hip hop, hip hop, pop rap, rap, trap"
YG,"cali rap, hip hop, pop rap, rap, southern hip hop, trap"
Migos,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap"
