artist_name,genres
JJ Lin,mandopop
F.I.R.,mandopop
Joanna Wang,jazz
Joanna Wang,mandopop
Joanna Wang,chinese audiophile
Shawn Mendes,pop
Yoga Lin,mandopop
Yoga Lin,r&b
Charlie Puth,pop
Westlife,boy band
Niall Horan,pop
許嵩,mandopop
Joker Xue,mandopop
Andrew Tan,mandopop
Imagine Dragons,pop
Imagine Dragons,rock
Hebe Tien,mandopop
S.H.E,mandopop
Fall Out Boy,pop
Fall Out Boy,rock
Fall Out Boy,emo
Aska Yang,mandopop
高爾宣 OSN,mandopop
sodagreen,mandopop
Leehom Wang,mandopop
Olivia Ong,mandopop
Taylor Swift,pop
Eason Chan,mandopop
Eason Chan,cantopop
Jay Chou,mandopop
MAGIC!,reggae
MAGIC!,pop
Foster The People,rock
Foster The People,indie
Calvin Harris,edm
Calvin Harris,pop
Calvin Harris,uk dance
One Direction,pop
One Direction,post-pop
One Direction,talent show
One Direction,boy band
Camila Cabello,pop
Little Mix,pop
Little Mix,talent show
Little Mix,girl group
Mark Ronson,pop
Mr. Probz,pop
French Montana,hip hop
French Montana,rap
Khalid,r&b
Khalid,pop
Daft Punk,edm
Daft Punk,rock
Daft Punk,electro
Kesha,pop
Harry Styles,pop
George Ezra,neo-singer-songwriter
George Ezra,pop
Dillon Francis,edm
Dillon Francis,moombahton
Dillon Francis,pop
Fifth Harmony,pop
Fifth Harmony,talent show
Fifth Harmony,girl group
R. City,reggae
Lil Nas X,lgbtq+ hip hop
Zara Larsson,pop
Train,neo mellow
Train,pop
Train,rock
WALK THE MOON,neo mellow
WALK THE MOON,rock
Paloma Faith,pop
Paloma Faith,talent show
Paloma Faith,british soul
Childish Gambino,rap
Childish Gambino,hip hop
P!nk,pop
John Legend,pop
John Legend,urban contemporary
John Legend,neo soul
The Chainsmokers,pop
Pharrell Williams,pop
Beyoncé,r&b
Beyoncé,pop
Adele,pop
Adele,british soul
Sia,pop
Chris Brown,rap
Chris Brown,r&b
Justin Timberlake,pop
Rachel Platten,pop
Rachel Platten,talent show
Rachel Platten,post-pop
Miley Cyrus,pop
ZAYN,pop
Justin Bieber,pop
Ed Sheeran,pop
Ed Sheeran,singer-songwriter pop
Olly Murs,pop
Olly Murs,talent show
Alan Walker,edm
Ronghao Li,mandopop
Ronghao Li,chinese singer-songwriter
Steve Chou,mandopop
Astro Bunny,indie
Astro Bunny,mandopop
Maroon 5,pop
Eric Chou,mandopop
The Vamps,pop
The Vamps,boy band
Wiz Khalifa,hip hop
Wiz Khalifa,rap
Angela Chang,mandopop
Rod Wave,rap
Rihanna,pop
Rihanna,urban contemporary
MKTO,post-pop
MKTO,pop
Elle King,rock
Katy Perry,pop
G.R.L.,post-pop
G.R.L.,talent show
G.R.L.,girl group
Lewis Capaldi,pop
Ella Henderson,pop
Ella Henderson,talent show
Hozier,indie
Hozier,pop
Hozier,rock
Hozier,irish singer-songwriter
OMI,reggae
The Script,pop
The Script,rock
Rag'n'Bone Man,neo soul
DJ Khaled,rap
DJ Khaled,hip hop
Tom Odell,pop
Britney Spears,pop
Bii,mandopop
韓紅,mandopop
Jam Hsiao,mandopop
Mayday,mandopop
羅大佑,taiwan campus folk
羅大佑,taiwan singer-songwriter
羅大佑,mandopop
Jessica Mauboy,australian talent show
Jessica Mauboy,pop
Jessica Mauboy,australian indigenous music
Tiger Hu,mandopop
Ella Chen,mandopop
A-Mei Chang,mandopop
Sam Smith,pop
5 Seconds of Summer,pop
5 Seconds of Summer,boy band
Faye Wong,mandopop
吳青峰,mandopop
Jason Mraz,neo mellow
Jason Mraz,pop
Trevor Daniel,rap
Jason Derulo,pop
Sam Hunt,country
Sam Hunt,pop
Sam Hunt,rock
Sam Hunt,contemporary country
Sean Kingston,hip hop
Sean Kingston,pop
Austin Mahone,post-pop
Austin Mahone,pop
Jay Sean,pop
Jay Sean,post-pop
Jay Sean,rap
James TW,pop
James TW,british singer-songwriter
Yisa Yu,mandopop
Hu Xia,mandopop
Stefanie Sun,mandopop
Stefanie Sun,singaporean singer-songwriter
Iyaz,post-pop
Iyaz,rap
Iyaz,pop
Jesse McCartney,pop
Jesse McCartney,post-pop
PRETTYMUCH,pop
PRETTYMUCH,post-pop
PRETTYMUCH,boy band
Namewee,mandopop
WeiBird,mandopop
WeiBird,r&b
G.E.M.,mandopop
Jeff Chang,mandopop
Ozuna,hip hop
Ozuna,reggae
Ozuna,urbano latino
Ozuna,pop
Lunay,hip hop
Lunay,reggae
Lunay,urbano latino
Mike Perry,swedish edm
Mike Perry,pop
J.Williams,pop
Disciples,edm
Disciples,uk dance
Disciples,pop
Nelly,hip hop
Nelly,rap
Nelly,urban contemporary
Nelly,pop
Taio Cruz,pop
Taio Cruz,rap
Nicki Minaj,hip pop
Nicki Minaj,pop
Nicki Minaj,rap
Nicki Minaj,hip hop
USHER,hip hop
USHER,pop
USHER,r&b
USHER,rap
USHER,urban contemporary
Ne-Yo,pop
Ne-Yo,r&b
Ne-Yo,urban contemporary
Hannah Montana,post-pop
Hannah Montana,pop
Sammy Adams,indie
Cher Lloyd,pop
Cher Lloyd,post-pop
Cher Lloyd,talent show
Far East Movement,hip hop
Far East Movement,rap
Far East Movement,pop
Gym Class Heroes,rap
Gym Class Heroes,pop
T-Pain,hip hop
T-Pain,r&b
T-Pain,rap
T-Pain,urban contemporary
T-Pain,pop
B.o.B,hip hop
B.o.B,rap
B.o.B,pop
Jordin Sparks,pop
Jordin Sparks,post-pop
Jordin Sparks,urban contemporary
AGA,cantopop
Mao Buyi,chinese singer-songwriter
Mao Buyi,mandopop
Mao Buyi,chinese minyao
David Tao,mandopop
David Tao,r&b
Hins Cheung,cantopop
Topic,edm
Topic,german dance
Topic,uk dance
Topic,pop
Kenji Wu,mandopop
Sam Lee,mandopop
Fish Leong,mandopop
Offset,hip hop
Offset,rap
YG,hip hop
YG,rap
Migos,hip hop
Migos,rap
Tory Lanez,hip hop
Tory Lanez,r&b
Tory Lanez,rap
Aitch,hip hop
Veronica Vega,hip hop
Veronica Vega,rap
Lil Baby,hip hop
Lil Baby,rap
Luniz,hip hop
Luniz,rap
Luniz,g funk
Tyga,hip hop
Tyga,rap
Mustard,hip hop
Mustard,rap
Christine Fan,mandopop
A-Lin,mandopop
Nicholas Teo,mandopop
BY2,mandopop
