ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-04-13T20:31:16Z,ios,626,NZ,219.89.193.250,"一千年後, 記得我",JJ Lin,因你 而在,spotify:track:3a0RLIWbxhpeaHekByyMpd,,,,fwdbtn,fwdbtn,True,True,True,1681417876,False
2023-04-13T20:31:16Z,ios,626,NZ,219.89.193.250,Girls On TV,The Vamps,Meet The Vamps,spotify:track:50dJa3SNbXNwUMgOmVtj7o,,,,fwdbtn,fwdbtn,True,True,True,1681417876,False
2023-04-13T20:31:17Z,ios,580,NZ,219.89.193.250,皆可,Hebe Tien,無人知曉,spotify:track:5tU8tlGuxmCjNdl5eP9oGR,,,,fwdbtn,fwdbtn,True,True,True,1681417877,False
2023-04-13T20:31:18Z,ios,673,NZ,219.89.193.250,蘭亭序,Jay Chou,魔杰座,spotify:track:2k3NAOhrpY4DJJlt5XjDKF,,,,fwdbtn,fwdbtn,True,True,True,1681417877,False
2023-04-13T20:31:18Z,ios,557,NZ,219.89.193.250,告白氣球,Jay Chou,周杰倫的床邊故事,spotify:track:1ivCIgrYZyE0BvItL4Z8lk,,,,fwdbtn,fwdbtn,True,True,True,1681417878,False
2023-04-13T20:31:19Z,ios,534,NZ,219.89.193.250,愛情,Hebe Tien,To My Love (Live),spotify:track:55dAbd5M6y4r71rHPo67oN,,,,fwdbtn,fwdbtn,True,True,True,1681417879,False
2023-04-13T20:31:19Z,ios,603,NZ,219.89.193.250,Teardrops On My Guitar - International Mix,Taylor Swift,Fearless - International Version,spotify:track:2RM02ladxD5mgdrlAwh3h9,,,,fwdbtn,fwdbtn,True,True,True,1681417879,False
2023-04-13T20:31:20Z,ios,603,NZ,219.89.193.250,連名帶姓,A-Mei Chang,偷故事的人,spotify:track:4a5FvWpFaCs3YOzEnnpgR0,,,,fwdbtn,fwdbtn,True,True,True,1681417880,False
2023-04-13T20:31:21Z,ios,580,NZ,219.89.193.250,巴別塔慶典,吳青峰,巴別塔慶典,spotify:track:5cwOpxvHTjtx2XkI19kyXZ,,,,fwdbtn,fwdbtn,True,True,True,1681417881,False
2023-04-13T20:31:21Z,ios,812,NZ,219.89.193.250,不醉不會 - Live,Hebe Tien,IF only 如果 田馥甄巡迴演唱會 (Live),spotify:track:2r9dFJvTqlvg40vGRXL153,,,,fwdbtn,fwdbtn,True,True,True,1681417881,False
2023-04-13T20:31:22Z,ios,603,NZ,219.89.193.250,一一,Hebe Tien,無人知曉,spotify:track:6cP98dTgkAIlKt9wqJVgEO,,,,fwdbtn,fwdbtn,True,True,True,1681417882,False
2023-04-13T20:31:23Z,ios,1044,NZ,219.89.193.250,Uptown Girl - Radio Edit,Westlife,Coast To Coast,spotify:track:2sFp6E7lNBbblJGmUtCfFH,,,,fwdbtn,fwdbtn,True,True,True,1681417883,False
2023-04-13T20:31:24Z,ios,998,NZ,219.89.193.250,你被寫在我的歌裡,sodagreen,你在煩惱什麼,spotify:track:7ovUSP7jWkzWR2SHptYJfd,,,,fwdbtn,fwdbtn,True,True,True,1681417884,False
2023-04-13T20:31:25Z,ios,1207,NZ,219.89.193.250,Fickle,Hebe Tien,Insignificance,spotify:track:7qlQx2AnMMjDEyMa4gdLC3,,,,fwdbtn,fwdbtn,True,True,True,1681417885,False
2023-04-13T20:31:26Z,ios,859,NZ,219.89.193.250,折桂令,Astro Bunny,折桂令,spotify:track:3kgkAuDbC4bUAswIkVwtQS,,,,fwdbtn,fwdbtn,True,True,True,1681417886,False
2023-04-13T20:31:28Z,ios,1787,NZ,219.89.193.250,（……催眠大師）（feat. Maîtrise Saint-Marc - Les Choristes）,吳青峰,馬拉美的星期二,spotify:track:4ViXbUw52jlRpAlttrUeJ5,,,,fwdbtn,fwdbtn,True,True,True,1681417887,False
2023-04-13T20:31:29Z,ios,1323,NZ,219.89.193.250,Say You Won't Let Go,James Arthur,Back from the Edge,spotify:track:5uCax9HTNlzGybIStD3vDh,,,,fwdbtn,fwdbtn,True,True,True,1681417889,False
2023-04-13T20:36:01Z,ios,272426,NZ,219.89.193.250,望穿 - Live,吳青峰,歌手2019,spotify:track:3MiWPItJv6kT1HZwQmXlNA,,,,fwdbtn,trackdone,True,False,True,1681417890,False
2023-04-13T20:36:09Z,ios,6548,NZ,219.89.193.250,Night of Weeping (Live),Yoga Lin,Night of Weeping (Live),spotify:track:2zEyrzKIZd1qcysLFXZZ9z,,,,trackdone,fwdbtn,False,True,True,1681418162,False
2023-04-13T20:36:10Z,ios,1068,NZ,219.89.193.250,怎麼會這樣,路嘉欣,幸福 前進吧!,spotify:track:7fnnVl6HOamFDlRTD5kPKw,,,,fwdbtn,fwdbtn,False,True,True,1681418169,False
2023-04-13T20:41:05Z,ios,295466,NZ,219.89.193.250,窗外,路嘉欣,你不懂,spotify:track:42FSVmPMZnduymhNY5aKN8,,,,fwdbtn,trackdone,False,False,True,1681418171,False
2023-04-13T20:55:40Z,ios,875160,NZ,219.89.193.250,Prologue: Into the Woods,Company - Into the Woods (Motion Picture Cast),Into the Woods,spotify:track:5fJ8kh5tPo0LIXrdtUP9XY,,,,trackdone,endplay,False,True,True,1681418465,False
2023-04-13T21:00:11Z,ios,270600,NZ,219.89.193.250,皆可,Hebe Tien,無人知曉,spotify:track:5tU8tlGuxmCjNdl5eP9oGR,,,,trackdone,trackdone,False,False,False,1681419342,False
2023-04-13T21:04:16Z,ios,244470,NZ,219.89.193.250,那些你很冒險的夢,JJ Lin,學不會,spotify:track:2aMN1ky0SzSEcV1QdBYbW9,,,,trackdone,trackdone,False,False,False,1681419612,False
2023-04-13T21:04:31Z,ios,13211,NZ,219.89.193.250,走不出的回忆,Ren Ran,走不出的回忆,spotify:track:74gm2F6l4EaYXtLXwkYdf5,,,,trackdone,fwdbtn,False,True,False,1681419857,False
2023-04-13T21:07:40Z,ios,189521,NZ,219.89.193.250,洗牌,Nicky Lee,影子,spotify:track:1SKfuW7m645yVYSO5aZrle,,,,fwdbtn,fwdbtn,False,True,False,1681419871,False
