ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-12-10T20:36:01Z,ios,139,NZ,219.89.193.250,Northern Attitude (with Hozier),Noah Kahan,Northern Attitude (with Hozier),spotify:track:4oEf84vBYVftf6KmZexhVo,,,,backbtn,backbtn,False,True,False,1702240562,False
2023-12-10T20:36:01Z,ios,162,NZ,219.89.193.250,Take Me To Church,Hozier,Hozier,spotify:track:3dYD57lRAUcMHufyqn9GcI,,,,backbtn,backbtn,False,True,False,1702240562,False
2023-12-10T20:36:01Z,ios,162,NZ,219.89.193.250,Work Song,Hozier,Hozier,spotify:track:35PKfoynRpVFoAUE3D5Kc6,,,,backbtn,backbtn,False,True,False,1702240562,False
2023-12-10T20:36:01Z,ios,1927,NZ,219.89.193.250,Eat Your Young,Hozier,Unreal Unearth,spotify:track:3hbKcj640iYmPQgecainOr,,,,fwdbtn,backbtn,False,True,False,1702240560,False
2023-12-10T20:36:02Z,ios,116,NZ,219.89.193.250,Moment's Silence (Common Tongue),Hozier,Nina Cried Power - EP,spotify:track:3guDGLhRp45ZzWDP6nGKDL,,,,backbtn,backbtn,False,True,False,1702240562,False
2023-12-10T20:36:03Z,ios,1184,NZ,219.89.193.250,Foreigner's God,Hozier,Hozier,spotify:track:0yJi7eb2SosK5CsSnnqc5o,,,,backbtn,backbtn,False,True,False,1702240562,False
2023-12-10T20:36:04Z,ios,1068,NZ,219.89.193.250,Say My Name - Recorded At Spotify Studios NYC,Hozier,Spotify Singles,spotify:track:0HFlesrysd5cO5m2Y5aB9H,,,,backbtn,backbtn,False,True,False,1702240564,False
2023-12-10T20:36:05Z,ios,394,NZ,219.89.193.250,NFWMB,Hozier,Nina Cried Power - EP,spotify:track:30SxaBvjxjuIzl6nnDJObx,,,,backbtn,backbtn,False,True,False,1702240565,False
2023-12-10T20:36:06Z,ios,650,NZ,219.89.193.250,Damage Gets Done,Hozier,Unreal Unearth,spotify:track:1EYP6mRfJY45IDKETJsjMO,,,,backbtn,backbtn,False,True,False,1702240565,False
2023-12-10T20:36:06Z,ios,557,NZ,219.89.193.250,Nobody,Hozier,"Wasteland, Baby!",spotify:track:2BnhDoRRohPQhs7zrqVq2L,,,,backbtn,backbtn,False,True,False,1702240566,False
2023-12-10T20:36:07Z,ios,557,NZ,219.89.193.250,Through Me (The Flood),Hozier,Eat Your Young,spotify:track:46P1ha5K2HGPWi0o41APhx,,,,backbtn,backbtn,False,True,False,1702240567,False
2023-12-10T20:36:08Z,ios,557,NZ,219.89.193.250,"I, Carrion (Icarian)",Hozier,Unreal Unearth,spotify:track:3zsTgPLNF9uEPjwu9jbKaU,,,,backbtn,backbtn,False,True,False,1702240568,False
2023-12-10T20:36:08Z,ios,510,NZ,219.89.193.250,Arsonist's Lullabye,Hozier,Hozier,spotify:track:7lpmIGFw7Kc9qIdq4cGs34,,,,backbtn,backbtn,False,True,False,1702240567,False
