ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-04-17T12:59:07Z,ios,10171680,NZ,203.211.104.120,,,,,#196｜畢生好家教都用盡了 ft. 美樂妮,童話裡都是騙人的,spotify:episode:6NHHwGQQejwk34zIdv3aAM,clickrow,trackdone,False,False,False,1681718328,False
2023-04-17T19:32:57Z,ios,5631318,NZ,203.211.104.120,,,,,S4 第九集吧＿《閨屬感》程予希＆林思宇來了！根本女明星爆料大會！,阿路八,spotify:episode:25aZnMDblnGzjwJX0vORs4,trackdone,endplay,False,True,False,1681736348,False
2023-04-19T03:49:32Z,ios,3332153,NZ,219.89.193.250,,,,,愚樂81｜古怪新聞一籮框：蕾哈娜惡靈人間開唱、肯爺辦學校規定只能吃壽司、清水健喜食DaBian竟住院？！,愚樂百昏百,spotify:episode:5vTenwe6ctlfx5kzQvzE1x,clickrow,endplay,False,True,False,1681872840,False
2023-04-20T07:41:45Z,ios,426225,NZ,203.211.104.120,,,,,#114雙皇血鬥！最盛大的失敗，最慘痛的贏家：不敗者的敗局｜法皇拿破崙11,時間的女兒：八卦歷史,spotify:episode:0k39ZNkVnNoF2538W2EvHL,clickrow,endplay,False,True,False,1681975618,False
2023-04-20T09:08:23Z,ios,4773599,NZ,203.211.104.120,,,,,#196｜畢生好家教都用盡了 ft. 美樂妮,童話裡都是騙人的,spotify:episode:6NHHwGQQejwk34zIdv3aAM,clickrow,endplay,False,True,True,1681976507,False
2023-04-20T10:45:32Z,ios,5820308,NZ,203.211.104.120,,,,,S4 第九集吧＿《閨屬感》程予希＆林思宇來了！根本女明星爆料大會！,阿路八,spotify:episode:25aZnMDblnGzjwJX0vORs4,clickrow,endplay,False,True,False,1681981703,False
2023-04-20T10:49:54Z,ios,259828,NZ,203.211.104.120,,,,,S4 第十集吧＿Q&A 你們到底有什麼問題！,阿路八,spotify:episode:3ru0eS18Si7yjjMeNaqR0W,trackdone,unexpected-exit-while-paused,False,False,False,1681987535,False
2023-04-20T19:46:53Z,ios,460479,NZ,203.211.104.120,,,,,「如果你欠他一條命，請起立」——他拯救600人卻被遺忘半世紀，最後才發現許多人都在等待一個機會感謝他,海獅說---生活裡的小世界史,spotify:episode:2ZLoieiHK8TZNQTLef2mOk,clickrow,endplay,False,True,False,1682019552,False
2023-04-20T23:52:17Z,ios,6988904,NZ,219.89.193.250,,,,,#194｜人還是最可怕的 ft. 她說犯罪,童話裡都是騙人的,spotify:episode:1px77QikZZ6lzf5McKphj7,clickrow,endplay,False,True,True,1682021644,False
2023-04-21T00:47:48Z,ios,535207,NZ,219.89.193.250,,,,,#193｜底褲藏個QR code ft. 辰亞御,童話裡都是騙人的,spotify:episode:7KwAvsCNRhkzfKYXwy4IWX,trackdone,endplay,False,True,False,1682034739,False
2023-04-21T01:52:39Z,ios,3876571,NZ,219.89.193.250,,,,,S4 第三集吧＿林予晞、温貞菱帶著新戲來了！到底是《沙之書》還是《渣之書》，婚姻關係裡的外遇可以被討論嗎？,阿路八,spotify:episode:007zjhIpjWrNW9bsJn3VrS,clickrow,unexpected-exit-while-paused,False,False,False,1682038068,False
2023-04-21T05:14:47Z,ios,533432,NZ,203.167.168.194,,,,,#192｜戀愛是個偽議題 ft. Andrew,童話裡都是騙人的,spotify:episode:47usAlzvnhBYuYLqXiqnSf,clickrow,endplay,False,True,True,1682053554,False
2023-04-21T07:25:47Z,ios,5519876,NZ,203.211.104.120,,,,,S2 第四集吧＿Feat. C+TALK SHOW 林予晞，世界有時候孤單的很需要另一個同類,阿路八,spotify:episode:0TQNd04mcBWdkjjInfHZp4,clickrow,endplay,False,True,False,1682056412,False
2023-04-22T05:53:32Z,ios,2538922,AU,49.255.248.186,,,,,#192｜戀愛是個偽議題 ft. Andrew,童話裡都是騙人的,spotify:episode:47usAlzvnhBYuYLqXiqnSf,clickrow,endplay,False,True,True,1682140273,False
2023-04-22T05:59:39Z,ios,365845,AU,49.255.248.186,,,,,#115八點檔完結篇：站著死的帝王，跟人跑的皇后，繼續爽的他全家｜法皇拿破崙12,時間的女兒：八卦歷史,spotify:episode:7bED6XXW5Z8usWOhzIoFGS,clickrow,endplay,False,True,True,1682142814,False
2023-04-26T07:06:18Z,ios,132458,IT,5.90.107.89,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,clickrow,unexpected-exit-while-paused,False,False,False,1682492646,False
2023-04-26T09:15:40Z,ios,2624789,IT,5.90.107.89,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,appload,unexpected-exit-while-paused,False,False,False,1682497870,False
2023-04-26T10:30:59Z,ios,1161443,IT,5.90.107.89,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,appload,endplay,False,True,False,1682503891,False
2023-04-26T10:43:48Z,ios,752234,IT,5.90.107.89,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,trackdone,unexpected-exit-while-paused,False,False,True,1682505061,False
2023-04-26T12:51:17Z,ios,3143498,IT,5.90.107.89,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,appload,endplay,False,True,False,1682510334,False
2023-04-26T14:59:13Z,ios,1015552,IT,5.90.107.89,,,,,愚樂82｜安以軒老公被判刑14年 小燕子依然愛Bad Boy？采子經歷劈腿風波復出 何孟遠竟現身台下力挺（蛤）,愚樂百昏百,spotify:episode:3BOo79f0e4irliTk1HJwEd,clickrow,unexpected-exit-while-paused,False,False,False,1682520131,False
2023-04-27T07:50:08Z,ios,2176185,IT,5.90.107.89,,,,,愚樂82｜安以軒老公被判刑14年 小燕子依然愛Bad Boy？采子經歷劈腿風波復出 何孟遠竟現身台下力挺（蛤）,愚樂百昏百,spotify:episode:3BOo79f0e4irliTk1HJwEd,appload,endplay,False,True,False,1682579629,False
2023-04-27T07:52:37Z,ios,135848,IT,5.90.107.89,,,,,台灣人與媽祖的故事：大甲媽神轎在他家、北港媽香灰保當兵平安、扛轎的他視白沙屯媽如家人,《The Real Story》By 報導者,spotify:episode:6UPFtqd2RKuHjDJv75x0LB,trackdone,endplay,False,True,False,1682581810,False
2023-04-27T08:56:09Z,ios,3811328,IT,85.18.22.10,,,,,S4 第九集吧＿《閨屬感》程予希＆林思宇來了！根本女明星爆料大會！,阿路八,spotify:episode:25aZnMDblnGzjwJX0vORs4,clickrow,unexpected-exit-while-paused,False,False,False,1682581959,False
2023-04-27T10:29:22Z,ios,2008335,IT,5.90.109.223,,,,,S4 第九集吧＿《閨屬感》程予希＆林思宇來了！根本女明星爆料大會！,阿路八,spotify:episode:25aZnMDblnGzjwJX0vORs4,appload,trackdone,False,False,False,1682589334,False
2023-04-27T10:30:04Z,ios,41212,IT,5.90.109.223,,,,,S4 第十集吧＿Q&A 你們到底有什麼問題！,阿路八,spotify:episode:3ru0eS18Si7yjjMeNaqR0W,trackdone,endplay,False,True,False,1682591362,False
2023-04-27T14:12:06Z,ios,3923138,IT,5.90.109.223,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,clickrow,endplay,False,True,False,1682591407,False
2023-04-27T14:22:08Z,ios,317312,IT,5.90.109.223,,,,,EP217｜珠海特區豪門5屍血案！案發當晚全區停電，只有查宅燈火通明？｜翠嶺路查宅血案．上,我在案發現場,spotify:episode:6MnvdLd2OkxJk2mvLgrqEu,trackerror,endplay,False,True,False,1682604738,False
2023-04-27T14:35:23Z,ios,793621,IT,5.90.252.252,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,clickrow,unexpected-exit-while-paused,False,False,False,1682605330,False
2023-04-28T07:27:36Z,ios,3143138,IT,5.90.252.252,,,,,S2 EP003｜下戰帖了... 本集上架首7日請至少每天早晚各聽一次😘 feat.阿路八,閨屬感｜宇宙 林思宇 x 程予希,spotify:episode:7qFvckIfpD5zsmeZAAbM64,appload,endplay,False,True,False,1682663710,False
2023-04-28T07:27:54Z,ios,16192,IT,5.90.252.252,,,,,#199｜如果我長得更好看：盜臉人生  ♪,童話裡都是騙人的,spotify:episode:483XupSV2065jbuzzsFDLC,trackdone,endplay,False,True,False,1682666858,False
2023-04-28T08:28:25Z,ios,3629927,IT,5.90.252.252,,,,,完美吐司的聲音 ♪〖 童騙一點點 #18 〗,童話裡都是騙人的,spotify:episode:3cS7ZF3y1DNhdbYmrb4pZn,clickrow,endplay,False,True,False,1682666876,False
2023-04-28T08:48:10Z,ios,1163160,IT,5.90.252.252,,,,,愛吃臭了嗎 ♪〖 童騙一點點 #19 〗,童話裡都是騙人的,spotify:episode:3xa7ekZOKsWCicq7fLYSWM,trackdone,trackdone,False,False,False,1682670507,False
2023-04-28T08:54:23Z,ios,372679,IT,5.90.252.252,,,,,#196｜畢生好家教都用盡了 ft. 美樂妮,童話裡都是騙人的,spotify:episode:6NHHwGQQejwk34zIdv3aAM,trackdone,endplay,False,True,False,1682671690,False
2023-04-28T09:37:58Z,ios,2573721,IT,5.90.252.252,,,,,#197｜來搞一個事業 ft. 尚恩尚其林,童話裡都是騙人的,spotify:episode:07u86YVqpkREHB8gPgTTV5,trackdone,unexpected-exit-while-paused,False,False,False,1682672065,False
2023-04-28T12:29:44Z,ios,4266368,IT,5.91.11.219,,,,,#197｜來搞一個事業 ft. 尚恩尚其林,童話裡都是騙人的,spotify:episode:07u86YVqpkREHB8gPgTTV5,appload,endplay,False,True,False,1682678278,False
2023-04-28T12:46:17Z,ios,991040,IT,5.91.11.219,,,,,#198｜流川楓上學路線之謎 ft. 普通人 ♪,童話裡都是騙人的,spotify:episode:4BX8Kn6Q24l7JvpVA7nNxz,trackdone,unexpected-exit-while-paused,False,False,False,1682684987,False
2023-04-28T17:46:40Z,ios,9025196,IT,5.91.11.219,,,,,#198｜流川楓上學路線之謎 ft. 普通人 ♪,童話裡都是騙人的,spotify:episode:4BX8Kn6Q24l7JvpVA7nNxz,appload,endplay,False,True,False,1682689041,False
