ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-12-11T01:17:54Z,ios,6819023,NZ,219.89.193.250,,,,,#234｜能為死者說話的，就只有檢察官 ft. 樂樂檢察官 ♪,童話裡都是騙人的,spotify:episode:235fZ8MYezjEwqIE9DM75G,clickrow,endplay,False,True,False,1702250656,False
2023-12-11T01:19:02Z,ios,41610,NZ,219.89.193.250,,,,,EP41｜（下集）賴清德副總統大談棒球讓Sandra聽到頭昏眼花！？不從政想當農夫！？講到家人超感動的！,驚奇玩起來 AmazingTalker Show,spotify:episode:5vu9UEb8YKzAOfnM4XlQzB,trackdone,endplay,False,True,False,1702257476,False
2023-12-11T07:06:18Z,ios,7918,NZ,203.211.107.79,,,,,EP42｜（上集）梁詠琪絕美女神高妹降臨！被Sandra視為情敵！？演戲瓶頸期曾躲在化妝間偷哭！？,驚奇玩起來 AmazingTalker Show,spotify:episode:2H0tRJXUS1oymHBHk1w5Cl,clickrow,unexpected-exit-while-paused,False,False,False,1702278370,False
2023-12-11T19:53:13Z,ios,4667039,NZ,219.89.193.250,,,,,#147復刻版帝王、讓LV跪拜的祖師娘！花都的驚世夫妻：拿破崙三世與歐仁妮｜拿破崙效應03,時間的女兒：八卦歷史,spotify:episode:2TgVIkn8pxLK7gOWyZcLSp,clickrow,trackdone,False,False,False,1702319368,False
2023-12-11T19:53:33Z,ios,19257,NZ,219.89.193.250,,,,,EP42｜（上集）梁詠琪絕美女神高妹降臨！被Sandra視為情敵！？演戲瓶頸期曾躲在化妝間偷哭！？,驚奇玩起來 AmazingTalker Show,spotify:episode:2H0tRJXUS1oymHBHk1w5Cl,trackdone,endplay,False,True,False,1702324394,False
2023-12-12T19:44:05Z,ios,2767386,NZ,219.89.193.250,,,,,愚樂114｜五月天假唱疑雲 讓人霧裏看花？林俊傑跳舞片段被惡搞 天王真的生氣了😤,愚樂百昏百,spotify:episode:2t3Q8vUWLWydKdqhQoLWqn,clickrow,trackdone,False,False,False,1702407468,False
2023-12-12T19:44:21Z,ios,13355,NZ,219.89.193.250,,,,,【試聽版】【周慕姿讀犯罪腳本】EP07｜日本座間九屍命案：青春期的寂寞與黑洞——他們不是真的想死，只是找不到活下去的理由,周慕姿讀靈魂腳本——那些人沒有說出口的傷,spotify:episode:2gQpzUcWQIBS5cu6mLfumo,trackdone,endplay,False,True,True,1702410245,False
2023-12-13T18:28:41Z,ios,842858,NZ,203.211.107.79,,,,,S5 第一集吧＿花蓮旅行不藏私，靠北的先講，阿路八一去再去的老地方！,阿路八,spotify:episode:3g1a8Wcx6mC7f6XnKuRwqA,clickrow,endplay,False,True,False,1702491273,False
2023-12-13T21:53:58Z,ios,1555,NZ,219.89.193.250,,,,,EP41｜（下集）賴清德副總統大談棒球讓Sandra聽到頭昏眼花！？不從政想當農夫！？講到家人超感動的！,驚奇玩起來 AmazingTalker Show,spotify:episode:5vu9UEb8YKzAOfnM4XlQzB,clickrow,endplay,False,True,False,1702504437,False
2023-12-13T22:45:45Z,ios,3107343,NZ,219.89.193.250,,,,,S5 第一集吧＿花蓮旅行不藏私，靠北的先講，阿路八一去再去的老地方！,阿路八,spotify:episode:3g1a8Wcx6mC7f6XnKuRwqA,clickrow,endplay,False,True,False,1702504439,False
2023-12-13T22:47:52Z,ios,3157,NZ,219.89.193.250,,,,,#45｜愛到深處才知自己多難搞 ♪,童話裡都是騙人的,spotify:episode:2AUva2naV0NRCMOdmVc8is,trackdone,backbtn,False,True,False,1702507667,False
2023-12-13T23:38:44Z,ios,3049478,NZ,219.89.193.250,,,,,#44｜危機轉為奶油香 ♪,童話裡都是騙人的,spotify:episode:0q243vjvpz3NnYFVg80tbQ,backbtn,trackdone,False,False,False,1702507672,False
2023-12-14T01:06:24Z,ios,5260348,NZ,219.89.193.250,,,,,#45｜愛到深處才知自己多難搞 ♪,童話裡都是騙人的,spotify:episode:2AUva2naV0NRCMOdmVc8is,trackdone,trackdone,False,False,True,1702510725,False
2023-12-14T03:03:07Z,ios,6898870,NZ,219.89.193.250,,,,,#47｜跟著壞榜樣學習 ♪,童話裡都是騙人的,spotify:episode:0hviYYk2HN8IoWaY1Zq3uR,trackdone,unexpected-exit-while-paused,False,False,False,1702515985,False
2023-12-14T03:42:38Z,ios,407227,NZ,219.89.193.250,,,,,#47｜跟著壞榜樣學習 ♪,童話裡都是騙人的,spotify:episode:0hviYYk2HN8IoWaY1Zq3uR,appload,trackdone,False,False,False,1702524951,False
2023-12-14T03:43:26Z,ios,36771,NZ,219.89.193.250,,,,,#51｜每週提供120分鐘的語音服務 ft. 法白Roy ♪,童話裡都是騙人的,spotify:episode:2Lmx11zlvT1xwUH4VNPWxK,trackdone,endplay,False,True,False,1702525359,False
2023-12-14T06:11:59Z,ios,7359483,NZ,203.211.107.79,,,,,#114｜Sweet Dreams ♪,童話裡都是騙人的,spotify:episode:0Dfexi37jA5Mmssz532GpL,clickrow,trackdone,False,False,False,1702525406,False
2023-12-14T06:25:48Z,ios,826539,NZ,203.211.107.79,,,,,#122｜再聊下去就要買機票了 ft. 大頭dato,童話裡都是騙人的,spotify:episode:3LdK1EmmBMOtk0fRFmIMsR,trackdone,trackdone,False,False,False,1702534319,False
2023-12-14T08:25:06Z,ios,3587038,NZ,203.211.107.79,,,,,#123｜不當別人的救世主  ft. 莊鵑瑛小球,童話裡都是騙人的,spotify:episode:6cGr3beYSoanUBWq9ac6is,trackdone,endplay,False,True,False,1702535148,False
2023-12-14T21:16:34Z,ios,3532126,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,clickrow,endplay,False,True,False,1702585062,False
2023-12-14T22:13:31Z,ios,2239541,NZ,219.89.193.250,,,,,S2EP6 善嵐慶女同學會：外貌迷思真焦慮！佛母降世幫幫忙！feat.蔡亘晏,善嵐慶女,spotify:episode:4V0GOuXb7PEqdEDGVUUngS,clickrow,endplay,False,True,False,1702589676,False
2023-12-14T23:14:48Z,ios,3568767,NZ,219.89.193.250,,,,,S3EP13 善嵐慶女神明廳：金鐘女神大駕光臨！影后隱藏的愚婦面向大公開！Feat.范瑞君,善嵐慶女,spotify:episode:1xSbTyYDfY9vRY35CcarVQ,clickrow,unexpected-exit-while-paused,False,False,False,1702592012,False
2023-12-14T23:39:01Z,ios,442157,NZ,219.89.193.250,,,,,S3EP13 善嵐慶女神明廳：金鐘女神大駕光臨！影后隱藏的愚婦面向大公開！Feat.范瑞君,善嵐慶女,spotify:episode:1xSbTyYDfY9vRY35CcarVQ,appload,trackdone,False,False,False,1702596699,False
2023-12-14T23:39:43Z,ios,41896,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,trackdone,endplay,False,True,False,1702597141,False
2023-12-14T23:40:17Z,ios,32786,NZ,219.89.193.250,,,,,S2EP4 善嵐慶女同學會：三十拉警報！面對迷惘超危機！feat. 李劭婕&呂名堯,善嵐慶女,spotify:episode:6BhLmpUGJnfIvj6rSfFwAZ,clickrow,endplay,False,True,False,1702597183,False
2023-12-15T00:49:13Z,ios,4137299,NZ,219.89.193.250,,,,,S2EP20 善嵐慶女同學會：人生起落依舊hold住全場！亞洲頂流女明星大駕光臨！feat.謝依霖,善嵐慶女,spotify:episode:6ddTXBSkQJioxmmvHBNmfS,clickrow,trackdone,False,False,False,1702597217,False
2023-12-15T01:33:44Z,ios,2244228,NZ,219.89.193.250,,,,,夏日Q&A特輯首部曲：乾媽來了，Chill for Life！,善嵐慶女,spotify:episode:2SSOhasZXIzWPdbrSwRmAe,trackdone,endplay,False,True,False,1702601354,False
